iter	Passed	Remaining
403	10427	15382
404	10454	15359
405	10494	15354
406	10523	15332
407	10548	15306
408	10573	15278
409	10599	15253
410	10625	15226
411	10650	15200
412	10677	15176
413	10705	15153
414	10734	15131
415	10760	15105
416	10784	15077
417	10810	15051
418	10837	15027
419	10863	15001
420	10887	14974
421	10914	14948
422	10941	14924
423	10967	14899
424	10993	14873
425	11020	14849
426	11044	14821
427	11070	14795
428	11097	14771
429	11121	14742
430	11147	14716
431	11173	14690
432	11199	14665
433	11227	14641
434	11252	14615
435	11278	14589
436	11305	14565
437	11329	14536
438	11355	14510
439	11382	14486
440	11410	14463
441	11436	14437
442	11461	14410
443	11485	14383
444	11514	14361
445	11542	14337
446	11569	14312
447	11595	14287
448	11621	14261
449	11646	14234
450	11671	14207
451	11696	14180
452	11721	14154
453	11748	14128
454	11773	14102
455	11801	14078
456	11827	14053
457	11854	14028
458	11880	14002
459	11906	13976
460	11932	13951
461	11958	13925
462	11982	13897
463	12009	13872
464	12037	13849
465	12063	13823
466	12088	13796
467	12114	13771
468	12138	13743
469	12165	13718
470	12190	13692
471	12215	13664
472	12248	13646
473	12274	13621
474	12300	13595
475	12327	13570
476	12352	13543
477	12379	13518
478	12406	13494
479	12432	13468
480	12457	13441
481	12483	13415
482	12508	13389
483	12533	13362
484	12560	13337
485	12588	13313
486	12614	13288
487	12641	13263
488	12666	13236
489	12690	13208
490	12715	13181
491	12741	13155
492	12766	13128
493	12792	13103
494	12818	13076
495	12843	13050
496	12870	13025
497	12897	13001
498	12923	12975
499	12951	12951
500	12978	12926
501	13002	12899
502	13029	12874
503	13056	12848
504	13079	12820
505	13103	12793
506	13129	12767
507	13156	12742
508	13186	12719
509	13212	12694
510	13240	12670
511	13268	12646
512	13293	12619
513	13320	12595
514	13349	12571
515	13377	12547
516	13402	12520
517	13428	12495
518	13454	12469
519	13480	12443
520	13505	12416
521	13531	12390
522	13556	12364
523	13582	12338
524	13609	12313
525	13634	12286
526	13660	12261
527	13686	12234
528	13713	12209
529	13740	12184
530	13766	12158
531	13790	12131
532	13815	12104
533	13841	12078
534	13867	12052
535	13892	12026
536	13919	12001
537	13945	11975
538	13969	11947
539	13994	11921
540	14021	11896
541	14046	11869
542	14072	11843
543	14099	11819
544	14125	11792
545	14150	11766
546	14173	11738
547	14201	11713
548	14225	11686
549	14251	11659
550	14276	11633
551	14302	11607
552	14329	11582
553	14356	11557
554	14383	11532
555	14408	11506
556	14433	11479
557	14459	11453
558	14484	11427
559	14510	11401
560	14536	11375
561	14562	11349
562	14587	11323
563	14616	11298
564	14643	11274
565	14671	11250
566	14700	11226
567	14729	11202
568	14753	11175
569	14781	11150
570	14806	11124
571	14832	11098
572	14860	11073
573	14888	11049
574	14914	11023
575	14941	10998
576	14966	10971
577	14992	10946
578	15019	10920
579	15047	10896
580	15073	10870
581	15100	10845
582	15127	10820
583	15152	10793
584	15178	10767
585	15204	10741
586	15231	10716
587	15258	10691
588	15283	10664
589	15307	10637
590	15330	10609
591	15354	10582
592	15380	10556
593	15406	10530
594	15433	10505
595	15458	10478
596	15486	10453
597	15511	10427
598	15539	10402
599	15566	10377
600	15593	10352
601	15618	10326
602	15645	10300
603	15670	10273
604	15695	10247
605	15721	10221
606	15749	10196
607	15776	10171
608	15801	10145
609	15825	10118
610	15852	10092
611	15877	10066
612	15901	10039
613	15928	10013
614	15952	9986
615	15977	9959
616	16001	9933
617	16028	9907
618	16052	9880
619	16078	9854
620	16103	9827
621	16130	9802
622	16155	9776
623	16180	9749
624	16206	9724
625	16234	9699
626	16260	9673
627	16285	9646
628	16308	9619
629	16333	9592
630	16359	9566
631	16385	9540
632	16409	9514
633	16436	9488
634	16461	9462
635	16487	9436
636	16514	9410
637	16540	9385
638	16565	9358
639	16592	9333
640	16616	9306
641	16642	9280
642	16669	9255
643	16694	9228
644	16720	9202
645	16747	9177
646	16777	9153
647	16803	9127
648	16829	9102
649	16857	9076
650	16883	9051
651	16909	9025
652	16935	8999
653	16959	8972
654	16986	8947
655	17011	8920
656	17038	8895
657	17065	8869
658	17093	8844
659	17119	8819
660	17145	8793
661	17170	8766
662	17195	8740
663	17220	8713
664	17247	8688
665	17273	8662
666	17300	8637
667	17326	8611
668	17351	8584
669	17377	8559
670	17401	8532
671	17429	8507
672	17454	8481
673	17480	8455
674	17507	8429
675	17534	8403
676	17560	8378
677	17586	8352
678	17613	8326
679	17641	8301
680	17667	8276
681	17694	8250
682	17721	8224
683	17748	8199
684	17774	8173
685	17801	8148
686	17826	8121
687	17851	8095
688	17877	8069
689	17901	8042
690	17928	8017
691	17954	7991
692	17981	7965
693	18006	7939
694	18030	7912
695	18054	7886
696	18080	7859
697	18105	7833
698	18132	7808
699	18158	7782
700	18184	7756
701	18210	7730
702	18235	7703
703	18261	7677
704	18287	7652
705	18314	7626
706	18339	7600
707	18365	7574
708	18393	7549
709	18421	7524
710	18447	7498
711	18473	7472
712	18499	7446
713	18524	7420
714	18550	7394
715	18575	7367
716	18599	7341
717	18626	7315
718	18653	7290
719	18682	7265
720	18710	7240
721	18736	7214
722	18760	7187
723	18787	7162
724	18813	7136
725	18838	7109
726	18865	7084
727	18890	7058
728	18915	7031
729	18940	7005
730	18968	6980
731	18992	6953
732	19020	6928
733	19045	6901
734	19072	6876
735	19098	6850
736	19124	6824
737	19150	6798
738	19175	6772
739	19200	6746
740	19226	6720
741	19251	6693
742	19277	6668
743	19301	6641
744	19327	6615
745	19354	6589
746	19378	6563
747	19404	6537
748	19429	6510
749	19453	6484
750	19480	6458
751	19507	6433
752	19533	6407
753	19561	6382
754	19586	6356
755	19611	6329
756	19634	6302
757	19660	6276
758	19684	6250
759	19709	6224
760	19734	6197
761	19758	6171
762	19783	6144
763	19810	6119
764	19837	6093
765	19866	6068
766	19892	6042
767	19918	6017
768	19944	5991
769	19970	5965
770	19997	5939
771	20022	5913
772	20048	5887
773	20072	5860
774	20098	5835
775	20123	5808
776	20149	5783
777	20175	5757
778	20200	5730
779	20227	5705
780	20253	5679
781	20279	5653
782	20305	5627
783	20332	5601
784	20365	5577
785	20393	5552
786	20418	5526
787	20443	5500
788	20468	5473
789	20494	5448
790	20520	5421
791	20544	5395
792	20569	5369
793	20596	5343
794	20620	5317
795	20645	5290
796	20671	5265
797	20698	5239
798	20724	5213
799	20750	5187
800	20776	5161
801	20801	5135
802	20828	5109
803	20853	5083
804	20879	5057
805	20904	5031
806	20929	5005
807	20955	4979
808	20983	4954
809	21009	4928
810	21035	4902
811	21059	4875
812	21084	4849
813	21111	4823
814	21136	4797
815	21160	4771
816	21185	4745
817	21210	4719
818	21236	4693
819	21263	4667
820	21291	4642
821	21316	4615
822	21345	4590
823	21370	4564
824	21396	4538
825	21423	4512
826	21450	4487
827	21478	4461
828	21504	4435
829	21530	4409
830	21556	4383
831	21583	4358
832	21609	4332
833	21639	4307
834	21666	4281
835	21693	4255
836	21719	4229
837	21744	4203
838	21770	4177
839	21797	4151
840	21823	4125
841	21849	4100
842	21875	4074
843	21901	4048
844	21926	4021
845	21952	3996
846	21979	3970
847	22006	3944
848	22032	3918
849	22060	3893
850	22085	3866
851	22111	3841
852	22137	3814
853	22163	3789
854	22188	3763
855	22214	3736
856	22240	3711
857	22264	3684
858	22289	3658
859	22314	3632
860	22339	3606
861	22365	3580
862	22388	3554
863	22414	3528
864	22442	3502
865	22467	3476
866	22492	3450
867	22518	3424
868	22544	3398
869	22570	3372
870	22596	3346
871	22621	3320
872	22649	3294
873	22673	3268
874	22700	3242
875	22726	3216
876	22752	3191
877	22777	3164
878	22803	3139
879	22830	3113
880	22857	3087
881	22886	3061
882	22911	3035
883	22938	3010
884	22965	2984
885	22992	2958
886	23019	2932
887	23045	2906
888	23071	2880
889	23097	2854
890	23122	2828
891	23149	2802
892	23173	2776
893	23198	2750
894	23223	2724
895	23250	2698
896	23279	2673
897	23304	2647
898	23332	2621
899	23359	2595
900	23386	2569
901	23412	2543
902	23437	2517
903	23463	2491
904	23491	2465
905	23517	2439
906	23544	2414
907	23570	2388
908	23596	2362
909	23620	2336
910	23646	2310
911	23674	2284
912	23701	2258
913	23726	2232
914	23754	2206
915	23780	2180
916	23806	2154
917	23834	2129
918	23862	2103
919	23890	2077
920	23914	2051
921	23940	2025
922	23967	1999
923	23991	1973
924	24017	1947
925	24044	1921
926	24070	1895
927	24095	1869
928	24120	1843
929	24146	1817
930	24172	1791
931	24197	1765
932	24223	1739
933	24250	1713
934	24276	1687
935	24302	1661
936	24339	1636
937	24371	1610
938	24397	1584
939	24423	1558
940	24450	1533
941	24476	1507
942	24501	1481
943	24526	1454
944	24553	1429
945	24580	1403
946	24607	1377
947	24643	1351
948	24673	1325
949	24698	1299
950	24725	1273
951	24751	1247
952	24777	1221
953	24803	1195
954	24827	1169
955	24852	1143
956	24880	1117
957	24906	1091
958	24934	1066
959	24961	1040
960	24987	1014
961	25015	988
962	25042	962
963	25070	936
964	25095	910
965	25121	884
966	25147	858
967	25173	832
968	25199	806
969	25224	780
970	25249	754
971	25273	728
972	25299	702
973	25327	676
974	25352	650
975	25378	624
976	25404	598
977	25432	572
978	25458	546
979	25484	520
980	25512	494
981	25537	468
982	25563	442
983	25591	416
984	25618	390
985	25645	364
986	25671	338
987	25696	312
988	25724	286
989	25751	260
990	25776	234
991	25804	208
992	25830	182
993	25856	156
994	25881	130
995	25907	104
996	25933	78
997	25958	52
998	25984	26
999	26012	0
