iter	Logloss
181	0.4631708919
182	0.4630976547
183	0.4630523768
184	0.4629772489
185	0.4628995932
186	0.4628312312
187	0.4627808118
188	0.462707774
189	0.4626290024
190	0.4625806356
191	0.4625240886
192	0.4624761084
193	0.4624051895
194	0.4623622056
195	0.4623026551
196	0.4622540289
197	0.4622089639
198	0.4621496941
199	0.4620960073
200	0.4620246747
201	0.4619863738
202	0.4619335773
203	0.4618633261
204	0.4617955646
205	0.4617442851
206	0.4617014895
207	0.4616510713
208	0.4616072459
209	0.4615542561
210	0.4615068473
211	0.4614515269
212	0.4614046196
213	0.4613478752
214	0.4612991568
215	0.46125301
216	0.4612120681
217	0.4611344091
218	0.4610891661
219	0.4610457703
220	0.4609902677
221	0.4609383213
222	0.4608965216
223	0.4608628614
224	0.4608011759
225	0.4607631914
226	0.460711104
227	0.460673534
228	0.460626187
229	0.4605841146
230	0.460533121
231	0.4604843296
232	0.4604373888
233	0.4604088367
234	0.4603636791
235	0.460301518
236	0.4602581734
237	0.4601956607
238	0.4601569032
239	0.4601213865
240	0.4600829561
241	0.460042943
242	0.4599901855
243	0.4599498106
244	0.4598990174
245	0.4598409062
246	0.4597943103
247	0.4597419918
248	0.4596952118
249	0.4596375315
250	0.4596061586
251	0.4595420117
252	0.4594836493
253	0.4594315846
254	0.459407446
255	0.4593441258
256	0.4593099141
257	0.4592659507
258	0.4592324875
259	0.45918201
260	0.4591347941
261	0.4590832733
262	0.4590423976
263	0.4589949099
264	0.4589017337
265	0.4588722501
266	0.4588427239
267	0.4588036219
268	0.4587614686
269	0.4587311757
270	0.4586905295
271	0.4586641442
272	0.4586237279
273	0.4585728406
274	0.4585343904
275	0.4585033502
276	0.4584718568
277	0.4584228846
278	0.4583544318
279	0.4583124642
280	0.4582885157
281	0.4582673834
282	0.4582113999
283	0.4581645419
284	0.4581173533
285	0.4580624852
286	0.4580054144
287	0.4579693086
288	0.4579418498
289	0.4578967852
290	0.4578392437
291	0.4577851496
292	0.4577497539
293	0.4577041251
294	0.4576220597
295	0.4575808295
296	0.4575150919
297	0.4574671739
298	0.4574035843
299	0.457370964
300	0.4573260466
301	0.457279478
302	0.4572612596
303	0.4572071923
304	0.4571749958
305	0.457134264
306	0.4570769131
307	0.4570358828
308	0.4569844826
309	0.4569357387
310	0.4568989611
311	0.4568394448
312	0.4568097291
313	0.4567540171
314	0.4567101386
315	0.4566626628
316	0.4566039375
317	0.4565631131
318	0.4565403999
319	0.456501494
320	0.4564674843
321	0.4564212472
322	0.4563746015
323	0.4563240047
324	0.4562797583
325	0.456256254
326	0.4561905202
327	0.4561257926
328	0.456090932
329	0.4560703306
330	0.4560091304
331	0.4559702068
332	0.4559303648
333	0.4558900266
334	0.4558491183
335	0.4558149619
336	0.4557844668
337	0.4557527062
338	0.4556990201
339	0.4556508578
340	0.4556068242
341	0.4555712095
342	0.4555233755
343	0.4554876961
344	0.4554520752
345	0.4554114085
346	0.4553770501
347	0.4553474797
348	0.4553208982
349	0.4552929643
350	0.4552370504
351	0.4551937476
352	0.4551455163
353	0.4551003197
354	0.4550633592
355	0.4550268604
356	0.4549811673
357	0.4549460868
358	0.454920263
359	0.454886855
360	0.4548578704
361	0.4548224931
362	0.4547710088
363	0.4547441867
364	0.4547019445
365	0.4546677017
366	0.4546172774
367	0.4545864699
368	0.4545604142
369	0.4545330026
370	0.4545004941
371	0.4544502464
372	0.4544226059
373	0.4543950021
374	0.4543546393
375	0.4543177022
376	0.4542753727
377	0.4542146673
378	0.4541742043
379	0.4541418549
380	0.4540967775
381	0.4540545468
382	0.4540130713
383	0.4539798598
384	0.45393373
385	0.453886443
386	0.4538564289
387	0.453811977
388	0.4537515347
389	0.4537279895
390	0.4536890436
391	0.4536558852
392	0.4536105875
393	0.4535738649
394	0.4535498707
395	0.4535163509
396	0.4534818716
397	0.4534444693
398	0.4533994107
399	0.4533815256
400	0.4533412668
401	0.4533170718
402	0.4532884167
403	0.4532496845
404	0.4532136698
405	0.453172501
406	0.4531265765
407	0.4530778259
408	0.4530469908
409	0.4530169862
410	0.45299127
411	0.4529476718
412	0.4529099363
413	0.4528530735
414	0.452810606
415	0.4527707748
416	0.4527535412
417	0.4527295479
418	0.4526957774
419	0.4526546017
420	0.4526111892
421	0.4525733006
422	0.4525280954
423	0.4524962779
424	0.4524528028
425	0.4524216693
426	0.4523834744
427	0.452343072
428	0.4523074477
429	0.452263842
430	0.452234551
431	0.4521904155
432	0.4521440446
433	0.4520864808
434	0.4520510821
435	0.4520093145
436	0.4519675255
437	0.4519349459
438	0.4518874646
439	0.4518351213
440	0.4517913276
441	0.4517496548
442	0.4517102422
443	0.451660956
444	0.4516255845
445	0.4515822377
446	0.4515558123
447	0.451530504
448	0.4515044281
449	0.4514620405
450	0.4514336363
451	0.4514027187
452	0.4513740693
453	0.4513499498
454	0.4513105306
455	0.4512709578
456	0.4512323526
457	0.4511996215
458	0.4511594359
459	0.4511126993
460	0.4510775281
461	0.4510235707
462	0.4509950616
463	0.4509438555
464	0.4508979882
465	0.4508605296
466	0.4508254452
467	0.4507972803
468	0.4507714303
469	0.4507401448
470	0.4507211571
471	0.450690425
472	0.4506332413
473	0.4505850758
474	0.4505413084
475	0.450506152
476	0.4504878371
477	0.4504524568
478	0.4504185894
479	0.4503928365
480	0.450371325
481	0.4503371098
482	0.4503022396
483	0.450265166
484	0.4501872392
485	0.4501423579
486	0.4501072248
487	0.450067329
488	0.4500262038
489	0.4499984962
490	0.4499593682
491	0.4499235009
492	0.4498868112
493	0.4498683095
494	0.4498533036
495	0.4498266494
496	0.4497933466
497	0.4497569027
498	0.4497342363
499	0.4497027756
500	0.449665997
501	0.4496359836
502	0.4495971138
503	0.4495588623
504	0.4495313946
505	0.4495091257
506	0.4494675074
507	0.4494331256
508	0.4494009261
509	0.4493583152
510	0.4493300682
511	0.449299726
512	0.4492713492
513	0.4492378128
514	0.4492095796
515	0.4491704954
516	0.4491405469
517	0.449099555
518	0.4490523832
519	0.4490065178
520	0.4489855524
521	0.4489578621
522	0.4489168983
523	0.4488857379
524	0.44884389
525	0.4488067119
526	0.448770777
527	0.4487358377
528	0.4487052689
529	0.448663893
530	0.4486325937
531	0.4485990269
532	0.4485706327
533	0.4485436762
534	0.44850766
535	0.4484779948
536	0.448456608
537	0.4484159343
538	0.44838855
539	0.4483649787
540	0.4483178695
541	0.4482938747
542	0.4482632785
543	0.4482215729
544	0.448180148
545	0.4481322143
546	0.4481010482
547	0.4480577599
548	0.4480227045
549	0.4479886688
550	0.4479499131
551	0.4479295793
552	0.4478917337
553	0.4478439257
554	0.4478045142
555	0.4477748659
556	0.4477365807
557	0.4476963683
558	0.4476660223
559	0.4476219078
560	0.4475877416
561	0.4475577002
562	0.4475232435
563	0.4474852126
564	0.4474423454
565	0.4473796927
566	0.4473441959
567	0.4473070578
568	0.4472862066
569	0.4472478295
570	0.4472070897
571	0.4471718489
572	0.4471504891
573	0.4471167322
574	0.4470728781
575	0.4470315591
576	0.4469864496
577	0.4469558411
578	0.4469238536
579	0.4468908049
580	0.446868544
581	0.4468211352
582	0.4467982936
583	0.4467718148
584	0.4467367222
585	0.4466933858
586	0.4466598066
587	0.4466251824
588	0.4466045295
589	0.4465794392
590	0.4465582217
591	0.4465226137
592	0.4464879042
593	0.4464644964
594	0.4464435841
595	0.446409643
596	0.446362784
597	0.4463309453
598	0.4462770471
599	0.4462473819
600	0.4462132524
601	0.4461847589
602	0.4461367492
603	0.4460964286
604	0.4460659263
605	0.4460325542
606	0.4460068388
607	0.4459708272
608	0.4459344294
609	0.445900978
610	0.4458540374
611	0.4458220065
612	0.4457923992
613	0.4457508297
614	0.4457211025
615	0.4456909234
616	0.4456593976
617	0.4456300771
618	0.445591038
619	0.4455582705
620	0.4455214805
621	0.4454865316
622	0.4454526913
623	0.4454053643
624	0.445385539
625	0.4453402018
626	0.4453009874
627	0.4452744298
628	0.4452423442
629	0.4452097138
630	0.4451680965
631	0.4451310314
632	0.4451018475
633	0.4450641825
634	0.4450402054
635	0.4450041199
636	0.4449658669
637	0.4449254106
638	0.4449021219
639	0.4448740715
640	0.444855496
641	0.4448222461
642	0.4447861374
643	0.4447662027
644	0.4447430413
645	0.4447113775
646	0.4446563865
647	0.4446377906
648	0.4445974834
649	0.4445636925
650	0.4445258651
651	0.4445004677
652	0.4444649904
653	0.4444317208
654	0.4444161271
655	0.4443880833
656	0.4443482651
657	0.4443173285
658	0.4442828939
659	0.4442431689
660	0.4442115817
661	0.444174354
662	0.4441444866
663	0.4441091526
664	0.4440698055
665	0.4440448902
666	0.4440111089
667	0.4439775222
668	0.4439519377
669	0.443923566
670	0.4439001363
671	0.4438620358
672	0.4438331694
673	0.4438037264
674	0.4437618215
675	0.4437260971
676	0.4436895786
677	0.4436570123
678	0.4436192393
679	0.4435881648
680	0.4435556467
681	0.4435191383
682	0.4434851674
683	0.4434514537
684	0.4434234332
685	0.4433827816
686	0.4433462282
687	0.443326159
688	0.4432912332
689	0.443263705
690	0.4432229346
691	0.4431963029
692	0.4431510236
693	0.4431272982
694	0.4430998629
695	0.4430623406
696	0.4430253685
697	0.4429829503
698	0.442947342
699	0.4429109402
700	0.442867486
701	0.4428241418
702	0.4427953268
703	0.4427580485
704	0.4427148852
705	0.4426937838
706	0.4426652633
707	0.44262238
708	0.4425708242
709	0.4425245201
710	0.4424960977
711	0.4424718455
712	0.4424322118
713	0.4423930145
714	0.4423499889
715	0.4423204358
716	0.4422802263
717	0.4422464514
718	0.442217685
719	0.4421898731
720	0.4421492461
721	0.442100241
722	0.4420747701
723	0.4420366042
724	0.442003047
725	0.4419796043
726	0.441946947
727	0.4419178523
728	0.4418877212
729	0.4418571524
730	0.4418271219
731	0.4418138623
732	0.4417717417
733	0.441743624
734	0.4417087607
735	0.4416784407
736	0.4416393727
737	0.4416167941
738	0.4415921909
739	0.4415534051
740	0.4415221513
741	0.4414828178
742	0.4414452747
743	0.4414106888
744	0.4413741933
745	0.4413444645
746	0.4413145697
747	0.4412940236
748	0.4412701277
749	0.4412446309
750	0.4412092635
751	0.44117804
752	0.4411484257
753	0.4411163925
754	0.4410688315
755	0.4410463859
756	0.4410279594
757	0.440978664
758	0.4409580027
759	0.4409370735
760	0.4409144932
761	0.4408895307
762	0.4408690769
763	0.4408354279
764	0.4407996326
765	0.4407670195
766	0.4407345243
767	0.4407014003
768	0.4406687017
769	0.4406351265
770	0.4406045358
771	0.4405788376
772	0.4405241781
773	0.4405003587
774	0.4404670965
775	0.4404464509
776	0.4403951
777	0.4403637131
778	0.4403451836
779	0.4403242301
780	0.4402869283
781	0.4402728386
782	0.4402427813
783	0.4402180197
784	0.4402013267
785	0.4401762639
786	0.4401308604
787	0.4400971223
788	0.4400435167
789	0.440011176
790	0.4399837676
791	0.4399587591
792	0.4399340616
793	0.439897367
794	0.4398694247
795	0.4398388462
796	0.4398097507
797	0.4397770063
798	0.4397549898
799	0.4397286818
800	0.4396942178
801	0.4396504287
802	0.4396200815
803	0.4395890333
804	0.4395502726
805	0.4395218482
806	0.4394896323
807	0.4394703378
808	0.4394422127
809	0.439409086
810	0.4393656423
811	0.4393527633
812	0.4393236309
813	0.4392902039
814	0.4392610428
815	0.4392242268
816	0.4391942094
817	0.4391580867
818	0.4391227679
819	0.439089873
820	0.4390513695
821	0.4390138853
822	0.4389833028
823	0.4389606176
824	0.4389287929
825	0.4389069341
826	0.4388719841
827	0.4388373143
828	0.4388119867
829	0.4387816716
830	0.4387521567
831	0.438724438
832	0.4386901406
833	0.4386592438
834	0.4386233751
835	0.4386013938
836	0.4385578702
837	0.4385242004
838	0.4384840299
839	0.4384668428
840	0.4384308163
841	0.4384030721
842	0.4383691584
843	0.4383413467
844	0.4383254329
845	0.4382939624
846	0.4382686671
847	0.4382292288
848	0.438196787
849	0.4381657204
850	0.4381377014
851	0.4381011433
852	0.4380768816
853	0.4380571168
854	0.4380366798
855	0.4380117818
856	0.4379876799
857	0.4379726445
858	0.4379456877
859	0.4379129109
860	0.4378883195
861	0.4378556381
862	0.4378412564
863	0.4378152817
864	0.4377783989
865	0.4377525851
866	0.4377306136
867	0.4376974279
868	0.437665879
869	0.4376347537
870	0.4376053835
871	0.4375673498
872	0.4375331729
873	0.4375039533
874	0.4374846552
875	0.4374595748
876	0.4374314344
877	0.4374040647
878	0.4373772981
879	0.4373415974
880	0.4372968069
881	0.4372644951
882	0.437245521
883	0.4372234429
884	0.4371866022
885	0.4371354331
886	0.4371098044
887	0.4370943287
888	0.437072729
889	0.4370495566
890	0.4370294345
891	0.4370044894
892	0.4369732644
893	0.4369350847
894	0.4369011129
895	0.4368551566
896	0.4368161909
897	0.436786535
898	0.4367341948
899	0.4367019074
900	0.436666809
901	0.4366443519
902	0.4366118527
903	0.4365777776
904	0.4365371727
905	0.4365059148
906	0.4364758524
907	0.4364468209
908	0.4364170024
909	0.4363900836
910	0.4363655097
911	0.4363289189
912	0.4362890746
913	0.4362650936
914	0.4362304609
915	0.4361998167
916	0.4361648994
917	0.4361330312
918	0.436103643
919	0.4360698489
920	0.4360436961
921	0.4360100779
922	0.435985724
923	0.4359457581
924	0.4359076064
925	0.4358731127
926	0.4358440895
927	0.4358162983
928	0.4357903549
929	0.4357558285
930	0.4357178906
931	0.435679717
932	0.4356475006
933	0.4356137711
934	0.4355875833
935	0.4355604173
936	0.4355282882
937	0.4354973269
938	0.4354709452
939	0.4354438052
940	0.4354062127
941	0.4353773341
942	0.4353435526
943	0.4353161122
944	0.4352837359
945	0.4352531744
946	0.4352247686
947	0.4351840235
948	0.4351579683
949	0.4351345149
950	0.4351191577
951	0.4350926856
952	0.4350627448
953	0.4350201633
954	0.4349954023
955	0.4349661125
956	0.4349302507
957	0.4348979791
958	0.4348677111
959	0.4348335124
960	0.4348020534
961	0.4347780432
962	0.4347546142
963	0.4347203643
964	0.4346832524
965	0.4346609155
966	0.4346419336
967	0.4346117189
968	0.4345756385
969	0.4345559136
970	0.4345279768
971	0.4345132806
972	0.434475984
973	0.4344455251
974	0.4344224937
975	0.4343958292
976	0.434355162
977	0.434333225
978	0.4343094395
979	0.4342808698
980	0.4342456655
981	0.4342064451
982	0.4341842668
983	0.4341640239
984	0.4341455777
985	0.4341119619
986	0.434088205
987	0.4340600198
988	0.4340225862
989	0.4339923198
990	0.4339603524
991	0.4339194106
992	0.4338923021
993	0.4338636574
994	0.433835119
995	0.4338012663
996	0.4337718536
997	0.4337415332
998	0.4337209673
999	0.4336968168
